scenario,is_honest,attacker,verifier,prompt_idx,n_tokens,n_positions,avg_cos,worst_cos,best_cos,avg_rank,best_rank,worst_rank,pass_99,pass_98,pass_95,pass_90,pass_85,pass_80
random_masks_honest,True,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,0,20,20,0.87620881,0.60928096,0.9999964,1.0,1,1,0.25,0.4,0.55,0.6,0.65,0.75
random_masks_fraud,False,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,0,20,20,0.87762118,0.55611928,0.99999472,1.0,1,1,0.3,0.4,0.55,0.6,0.65,0.7
random_masks_honest,True,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,1,20,20,0.95623032,0.71223746,0.99999904,1.0,1,1,0.55,0.6,0.7,0.9,0.9,0.9
random_masks_fraud,False,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,1,20,20,0.92256786,0.6689027,0.99999856,1.0,1,1,0.6,0.6,0.65,0.7,0.75,0.8
random_masks_honest,True,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,2,20,20,0.93394953,0.65210265,1.0,1.0,1,1,0.5,0.55,0.7,0.8,0.85,0.85
random_masks_fraud,False,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,2,20,20,0.87323157,0.16134884,1.0,1.2,1,4,0.45,0.5,0.6,0.65,0.7,0.8
random_masks_honest,True,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,3,20,20,0.87571492,0.67715254,0.99999994,1.0,1,1,0.2,0.3,0.35,0.45,0.55,0.7
random_masks_fraud,False,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,3,20,20,0.85624225,0.45911767,0.99999976,1.1,1,2,0.2,0.2,0.3,0.5,0.6,0.7
random_masks_honest,True,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,4,20,20,0.89259542,0.6971229,0.99999982,1.05,1,2,0.25,0.25,0.4,0.6,0.7,0.75
random_masks_fraud,False,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,4,20,20,0.74025116,0.24836547,0.9999988,1.55,1,6,0.15,0.25,0.35,0.4,0.4,0.45
random_masks_honest,True,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,5,20,20,0.99037565,0.82963561,1.0,1.0,1,1,0.95,0.95,0.95,0.95,0.95,1.0
random_masks_fraud,False,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,5,20,20,0.99117403,0.84976211,0.99999994,1.0,1,1,0.9,0.95,0.95,0.95,0.95,1.0
random_masks_honest,True,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,6,20,20,0.93191582,0.66044955,0.99999722,1.0,1,1,0.6,0.7,0.7,0.75,0.8,0.8
random_masks_fraud,False,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,6,20,20,0.91792872,0.49139175,0.99999747,1.05,1,2,0.6,0.7,0.7,0.75,0.75,0.85
random_masks_honest,True,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,7,20,20,0.92206715,0.62148837,1.0,1.0,1,1,0.5,0.65,0.7,0.7,0.8,0.8
random_masks_fraud,False,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,7,20,20,0.9336504,0.6171604,1.0,1.0,1,1,0.6,0.65,0.7,0.7,0.75,0.9
random_masks_honest,True,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,8,20,20,0.92860808,0.65295527,1.0,1.0,1,1,0.4,0.4,0.55,0.75,0.8,0.9
random_masks_fraud,False,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,8,20,20,0.89980405,0.58218119,1.0,1.0,1,1,0.4,0.4,0.6,0.65,0.7,0.75
random_masks_honest,True,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,9,20,20,0.9086816,0.57524725,0.99999898,1.0,1,1,0.6,0.6,0.65,0.65,0.75,0.8
random_masks_fraud,False,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,9,20,20,0.89933714,0.53978281,0.99999928,1.1,1,2,0.6,0.6,0.65,0.65,0.75,0.8
